ID,nom,departement,ville,CP,type
0750026W,L'Enseignement par petits groupes (Ecole secondaire privée),75,Paris 15,75015,secondaire
0750106H,Ecole technologique privée CCIP Centre des Formations Industrielles,75,Paris 20,75020,secondaire
0750132L,Ecole primaire privée Notre-Dame-Saint Roch,75,Paris 01,75001,primaire
0750136R,Ecole primaire privée Saint-Sauveur,75,Paris 02,75002,primaire
0750138T,Ecole primaire privée Sainte Geneviève du Marais,75,Paris 03,75003,primaire
0750141W,Ecole primaire privée Massillon,75,Paris 04,75004,primaire
0750142X,Ecole primaire privée Saint Jean Gabriel,75,Paris 04,75004,primaire
0750145A,Ecole élémentaire privée Les Francs Bourgeois,75,Paris 04,75004,primaire
0750148D,Ecole primaire privée Sinaï,75,Paris 18,75018,primaire
0750149E,Ecole primaire privée Sainte Catherine,75,Paris 05,75005,primaire
0750150F,Ecole primaire privée Sainte Geneviève,75,Paris 05,75005,primaire
0750151G,Ecole primaire privée Soeur Rosalie Louise de Marillac,75,Paris 05,75005,primaire
0750153J,Ecole primaire privée Saint Victor,75,Paris 05,75005,primaire
0750154K,Ecole élémentaire privée Sévigné,75,Paris 05,75005,primaire
0750161T,Ecole primaire privée Sainte Geneviève,75,Paris 06,75006,primaire
0750164W,Ecole primaire privée Bossuet,75,Paris 06,75006,primaire
0750167Z,Ecole primaire privée Stanislas,75,Paris 06,75006,primaire
0750168A,Ecole primaire privée Sainte Marie de Sion,75,Paris 06,75006,primaire
0750169B,Ecole primaire privée Alsacienne,75,Paris 06,75006,primaire
0750171D,Ecole élémentaire privée L'Alma,75,Paris 07,75007,primaire
0750175H,Ecole primaire privée Saint Thomas d'Aquin,75,Paris 07,75007,primaire
0750176J,Ecole primaire privée Sainte Clotilde,75,Paris 07,75007,primaire
0750179M,Ecole primaire privée Active Bilingue Jeannine Manuel,75,Paris 15,75015,primaire
0750182R,Collège privé Saint Louis,75,Paris 18,75018,secondaire
0750185U,Ecole primaire privée Sainte Jeanne-Elisabeth,75,Paris 07,75007,primaire
0750187W,Ecole primaire privée Active Bilingue Jeannine Manuel,75,Paris 07,75007,primaire
0750195E,Ecole primaire privée Saint Pierre de Chaillot,75,Paris 08,75008,primaire
0750199J,Ecole primaire privée Hattemer,75,Paris 08,75008,primaire
0750203N,Ecole primaire privée Fénelon-Sainte Marie,75,Paris 08,75008,primaire
0750204P,Ecole maternelle privée Le Petit cours du Rocher,75,Paris 08,75008,primaire
0750206S,Ecole élementaire privée Active Bilingue Jeannine Manuel,75,Paris 15,75015,primaire
0750209V,Ecole primaire privée Notre-Dame de Lorette,75,Paris 09,75009,primaire
0750210W,Ecole primaire privée La Trinité,75,Paris 09,75009,primaire
0750212Y,Ecole primaire privée Bossuet-Notre-Dame,75,Paris 10,75010,primaire
0750215B,Ecole primaire privée Saint Laurent,75,Paris 10,75010,primaire
0750218E,Ecole primaire privée Saint-Joseph,75,Paris 11,75011,primaire
0750219F,Ecole primaire privée Saint Vincent de Paul,75,Paris 10,75010,primaire
0750222J,Ecole élémentaire privée Charles Péguy,75,Paris 11,75011,primaire
0750223K,Ecole primaire privée Sainte Marguerite,75,Paris 11,75011,primaire
0750225M,Ecole primaire privée Saint Paul,75,Paris 11,75011,primaire
0750227P,Ecole primaire privée Saint Ambroise,75,Paris 11,75011,primaire
0750229S,Ecole primaire privée Fénelon-Sainte Marie,75,Paris 08,75008,primaire
0750234X,Ecole primaire privée Eugène Napoléon Saint Pierre Fourier,75,Paris 12,75012,primaire
0750236Z,Ecole primaire privée Saint Michel de Picpus,75,Paris 12,75012,primaire
